,Country Name,Country Code,TotElecGen_2015,RenewElecGen_2015,NotRenewShare_2015,PolStab_2015,ContCorrup_2015,RegQual_2015,RuleofLaw_2015,GDP2010base_2015,GDPPerCapita_2015,GovEffec_2015
66,Germany,DEU,640967.0,187366.0,70.7682298776692,0.6998242735862732,1.837888479232788,1.7230777740478516,1.7949970960617065,3692893411745.64,41086.7296737253,1.736830234527588
67,Ghana,GHA,11491.0,5848.0,49.1079975633104,-0.03209933266043663,-0.18881841003894806,-0.031253885477781296,0.14239589869976044,45280184654.5808,1743.8509964087,-0.22216267883777618
68,Greece,GRC,51822.0,14850.0,71.3442167419243,-0.23025235533714294,-0.07661377638578415,0.40962299704551697,0.2671453058719635,244718538540.741,18167.7737271656,0.25606098771095276
69,Greenland,GRL,520.1739,422.8573,18.708474223716294,1.9431376457214355,1.1905503273010254,1.3531838655471802,1.7012770175933838,2544833840.08108,44536.4013080999,0.8677899837493896
70,Grenada,GRD,206.96,0.0,100.0,0.7907084822654724,0.5560133457183838,0.09009180963039398,0.14466722309589386,898080308.938223,9096.87064595412,-0.19626736640930176
71,Guam,GUM,1730.6,0.0,100.0,0.8079030513763428,1.2185018062591553,0.17245230078697205,1.3452397584915161,5203883425.52756,35278.9259389693,0.4874166250228882
72,Guatemala,GTM,11058.0,6678.0,39.6093326098752,-0.6550602316856384,-0.7331990599632263,-0.21626418828964233,-0.9472802877426147,49984953507.6393,3994.63691288475,-0.7110427021980286
73,Guinea,GIN,1118.2,880.6,21.248434984797,-0.3869883418083191,-0.9896519780158997,-0.8706912398338318,-1.1607695817947388,8578674004.45187,769.256013746016,-1.1455899477005005
74,Guinea-Bissau,GNB,36.35,0.0,100.0,-0.5182163715362549,-1.4825928211212158,-1.2031092643737793,-1.2835413217544556,998981744.956949,603.401118246693,-1.6130903959274292
75,Guyana,GUY,1039.03,0.0,100.0,-0.13965080678462982,-0.6353234052658081,-0.5150861144065857,-0.5274674892425537,4034740151.66708,5576.83333734239,-0.33548495173454285
76,Haiti,HTI,1038.0,83.0,92.00385356454721,-0.6708381772041321,-1.2375224828720093,-1.1703943014144897,-1.1806367635726929,13482802422.5256,1389.11951950807,-2.0162906646728516
77,Honduras,HND,8965.0,3790.0,57.7244841048522,-0.4689144194126129,-0.5667075514793396,-0.39593422412872314,-0.9256242513656616,18839040425.3557,2302.20137936204,-0.8215689659118652
78,"Hong Kong SAR, China",HKG,38030.0,106.0,99.72127267946358,1.0462945699691772,1.6513144969940186,2.1898841857910156,1.825609803199768,264386829327.016,42431.8882817277,1.9091756343841553
79,Hungary,HUN,30342.0,3211.0,89.4173093401885,0.7462977170944214,0.14863543212413788,0.7662329077720642,0.3999359607696533,146173151085.081,12706.8912148924,0.4972520172595978
80,Iceland,ISL,18799.0,18795.0,0.021277727538702607,1.3081644773483276,1.9391096830368042,1.27373468875885,1.6673295497894287,15724860715.2866,52564.4291794558,1.4920791387557983
81,India,IND,1383004.0,212195.0,84.6569496545202,-0.9484933614730835,-0.3520182967185974,-0.39146459102630615,-0.04732266440987587,2294947360719.64,1605.60543355488,0.09034229815006256
82,Indonesia,IDN,233984.0,24922.0,89.3488443654267,-0.6150606870651245,-0.4583672881126404,-0.21755778789520264,-0.42209815979003906,988128596686.365,3331.69512758628,-0.24062152206897736
83,"Iran, Islamic Rep.",IRN,280633.0,14326.0,94.89511212152527,-0.9257017374038696,-0.6045841574668884,-1.3115705251693726,-0.9234834909439087,476462445364.325,4904.32687747976,-0.20891591906547546
84,Iraq,IRQ,68922.0,2572.0,96.2682452627608,-2.2603518962860107,-1.3688790798187256,-1.237459659576416,-1.4177703857421875,188390451687.43,4989.80307473071,-1.2464336156845093
85,Ireland,IRL,28099.0,7858.0,72.0345919783622,0.908455491065979,1.6153714656829834,1.8188742399215698,1.7748981714248657,307661905045.932,61995.4228025802,1.5330822467803955
86,Israel,ISR,64226.0,1214.0,98.10979976956374,-1.0949127674102783,0.9430065751075745,1.2725979089736938,1.1622778177261353,277141740528.213,35776.7951618068,1.3877825736999512
87,Italy,ITA,281562.0,108906.0,61.3207748204658,0.3759196996688843,0.01626414805650711,0.7288106679916382,0.27505096793174744,2062497785388.09,30230.2263021296,0.4479527473449707
88,Jamaica,JAM,4122.0,423.0,89.7379912663755,0.0964844822883606,-0.23160508275032043,0.10595514625310898,-0.22732210159301758,13651535656.2906,4907.50371974316,0.2486221343278885
89,Japan,JPN,1035266.0,165485.0,84.0152192769781,1.0651277303695679,1.5691813230514526,1.2177425622940063,1.5187156200408936,5988669235428.84,34524.4698609337,1.7845206260681152
90,Jordan,JOR,19014.0,184.0,99.03229199537184,-0.6057785749435425,0.2600729167461395,0.08333564549684525,0.43942636251449585,31046672555.1508,4164.10787635509,0.12248700112104416
91,Kazakhstan,KAZ,106468.0,9448.0,91.12597212307924,-0.035000283271074295,-0.8526416420936584,-0.032958414405584335,-0.43933185935020447,186260298083.442,10510.7718884149,-0.07331541180610657
92,Kenya,KEN,9651.0,8446.0,12.485752771733502,-1.2444056272506714,-1.0134786367416382,-0.31242114305496216,-0.4881590008735657,52337445096.8196,1336.88334885603,-0.3012509346008301
93,Kiribati,KIR,27.5,2.0,92.72727272727273,0.8435605764389038,0.22011418640613556,-0.876477062702179,-0.15525849163532257,189763115.564024,1542.5752495838,-0.48982489109039307
94,"Korea, Dem. Rep.",PRK,13737.0,10000.0,27.203901870859696,-1.153404712677002,-1.247948408126831,-2.3258776664733887,-1.645119547843933,,,-1.6326161623001099
95,"Korea, Rep.",KOR,549226.0,10406.0,98.10533368777152,0.161014124751091,0.37362197041511536,1.1133885383605957,0.9323845505714417,1329638605060.43,28732.2310762599,1.0123937129974365
96,Kuwait,KWT,67918.0,0.0,100.0,-0.21342027187347412,-0.2250967025756836,-0.17312702536582947,0.0010720329592004418,137963712491.277,29869.5293908248,-0.03321985527873039
97,Kyrgyz Republic,KGZ,13030.0,11100.0,14.811972371450494,-0.8824379444122314,-1.1497142314910889,-0.5026596188545227,-0.9892439842224121,6082952718.31972,1121.08283510739,-0.9145041704177856
98,Lao PDR,LAO,16501.1,14252.0,13.630000424214103,0.5413620471954346,-0.9116008877754211,-0.8064562678337097,-0.7987303137779236,10373648102.7012,2134.71179567796,-0.5105656981468201
99,Latvia,LVA,5533.0,2776.0,49.8283029098138,0.44374722242355347,0.46817609667778015,1.0887999534606934,0.7945901155471802,28504576016.1612,13774.6052739114,1.0894441604614258
100,Lebanon,LBN,18396.0,479.0,97.39617308110459,-1.7025865316390991,-0.88376784324646,-0.2948107123374939,-0.825654149055481,42383355597.0781,7644.54865718212,-0.47429168224334717
101,Lesotho,LSO,532.2,532.2,0.0,-0.3084287643432617,0.06253678351640701,-0.3962424099445343,-0.17396460473537445,2808363400.39666,1152.13982883937,-0.6725308895111084
102,Liberia,LBR,310.0,0.0,100.0,-0.8180257081985474,-0.6454386711120605,-0.8650306463241577,-0.8566008806228638,2555669829.48595,710.383857717515,-1.3570677042007446
103,Libya,LBY,37713.0,0.0,100.0,-2.1966283321380615,-1.6169307231903076,-2.232313394546509,-1.6292645931243896,37867414401.9124,4337.91913919348,-1.6531113386154175
104,Liechtenstein,LIE,70.0,67.8,3.1428571428571956,1.4578404426574707,2.0643882751464844,1.3898555040359497,1.685901403427124,,167290.939983907,1.6890493631362915
105,Lithuania,LTU,4258.0,1678.0,60.5918271488962,0.7597939968109131,0.6176546812057495,1.277035117149353,1.0080474615097046,44732307937.7247,14258.2293345128,1.1849342584609985
106,Luxembourg,LUX,1331.0,431.0,67.618332081142,1.4393984079360962,2.096686840057373,1.6580286026000977,1.8746488094329834,61311156256.0234,101376.496574339,1.7240779399871826
107,"Macao SAR, China",MAC,962.0,0.0,100.0,1.202256441116333,0.6117633581161499,1.7724404335021973,0.9236723780632019,32198777328.9762,75340.9869811152,1.450001835823059
108,"Macedonia, FYR",MKD,5646.0,2029.0,64.06305348919591,-0.2870160639286041,-0.2560805678367615,0.4317179322242737,-0.18881243467330933,10615805818.6144,4840.27312286783,0.11836877465248108
109,Madagascar,MDG,1712.232,934.818,45.4035434450472,-0.4273628890514374,-0.8512979745864868,-0.765178918838501,-0.6872614026069641,11388624678.9776,467.235399432808,-1.2856043577194214
110,Malawi,MWI,2102.8,1920.0,8.693171010081798,0.03189614787697792,-0.7665762305259705,-0.8180814981460571,-0.30688634514808655,8499051829.16497,380.597033140938,-0.6662120819091797
111,Malaysia,MYS,150123.0,14948.0,90.04283154479992,0.25895756483078003,0.23507259786128998,0.752673327922821,0.5019240975379944,330321371282.475,9955.24370828938,0.9489560723304749
112,Maldives,MDV,391.48,5.0,98.72279554511086,0.4206715226173401,-0.47938957810401917,-0.41495054960250854,-0.5762653946876526,3412565430.30422,9033.43986680388,-0.3758673369884491
113,Mali,MLI,1712.0,745.0,56.4836448598131,-1.6856639385223389,-0.6828473806381226,-0.5779869556427002,-0.7351909279823303,12723918826.9183,751.474788898858,-0.9310303926467896
114,Malta,MLT,1303.0,100.0,92.32540291634689,1.0639386177062988,0.9003744721412659,1.1688553094863892,1.1355855464935303,11761274002.3171,24921.6035735846,0.8504284024238586
115,Marshall Islands,MHL,85.7,0.2,99.76662777129522,0.9194737672805786,-0.11513607949018478,-1.121720552444458,-0.212631493806839,164002042.135851,3213.83728825363,-1.601155161857605
116,Mauritania,MRT,1002.0,134.0,86.626746506986,-0.6378012299537659,-0.923313558101654,-0.8694826364517212,-0.866076648235321,7010569791.14096,1524.07288252212,-1.0268871784210205
117,Mauritius,MUS,2997.0,681.0,77.2772772772773,0.9986153841018677,0.2940295338630676,1.0914578437805176,0.8553141355514526,11965285103.5188,9260.44730250635,1.0569936037063599
118,Mexico,MEX,311138.0,47897.0,84.6058662072778,-0.7986990809440613,-0.7659355998039246,0.3577255606651306,-0.4470919668674469,1223717559850.95,9616.64500568952,0.20957127213478088
119,"Micronesia, Fed. Sts.",FSM,68.7,1.1,98.39883551673945,1.035154104232788,0.680445671081543,-0.982749342918396,-0.29554441571235657,296026870.639578,2906.37678497635,-0.3970087468624115
