"","RenewElecGen_2015","TotElecGen_2015","PolStab_2015","ContCorrup_2015","RegQual_2015","RuleofLaw_2015","GDP2010base_2015","GDPPerCapita_2015","GovEffec_2015","Eff","RenewElecGen_2015","TotElecGen_2015","PolStab_2015","ContCorrup_2015","RegQual_2015","RuleofLaw_2015","GDP2010base_2015","GDPPerCapita_2015","GovEffec_2015"
"DMU97",0.463717941461388,0.293669055302577,0.86385931998173,0.990890467652728,0.887324718498395,0.992974773209998,0.321892403661247,0.511118184190743,0.902106856608755,1,0.198981440456129,0.415472801047257,0,0.886060088046009,0,0,0,0,0
"DMU98",0.303161892228859,0.171358458379989,0.95619410768067,0.963259281249726,0.868613004813603,0.967270076412139,0.345041207957405,0.810701711654733,0.944510061189127,1,0.182490340082182,0,0,0.910506498484743,0,0,0.204646314755466,0.0645548816494009,0
"DMU99",0.0404597043830105,0.0315007139433444,0.542943462438149,0.217584972812337,0.33340776952379,0.32424336823903,0.0591681965039411,0.0147160296393379,0.339242955687555,0.557504673475055,0.334810640893385,0.444587806538011,1.81601812140086,0,0,0,0,0,0
"DMU100",0.166881496216015,0.308548190602063,0.406829139105773,0.268915950038385,0.502097562142238,0.386426630907457,0.268869500439169,0.0627115445137961,0.560885620373001,0.692546831278815,0.889212151512344,1.14440832360747,0,0,0,0,0,0,1.15334545751208
"DMU101",0.0183293549353932,0.071607709473175,0.414842511674825,0.381016716003213,0.325720597921771,0.409079570918058,0.0637594990779757,0.0433022812897259,0.451377891429273,0.497837088133185,39.3097587372254,0.127201598332651,0,0,0,0,0,0,2.19525901404687
"DMU102",0.425940979944693,0.373853186231407,0.289252321118529,0.358424142897782,0.496750903801132,0.396052908612083,0.442310887555848,0.113396101330191,0.531287192308011,0.649233663177636,1.12595724870233,0,0,0,0.492177602863571,0,1.38354095050169,0,0.270202457802173
"DMU103",0.0542451911307923,0.0219933547221227,0.451537388380045,0.121525739167568,0.361971541194391,0.319120722948241,0.0498241570158472,0.0136927242542506,0.366548216472962,0.461417834462933,0.40349420910752,0.535791230825979,2.18855886319604,0,0,0,0,0,0
"DMU104",0.0975784859548026,0.293841257876591,0.17911370083661,0.140465255471454,0.277817698192782,0.201633604511414,0.126134910187001,0.0262606745015543,0.357491470473208,0.602846903659093,2.62552180150669,3.40319806424289,0,0,0,0,0,0,0
"DMU105",0.0144585959777944,0.257083649704224,0.819708159987945,0.68219612847781,0.709258799469218,0.60528249709834,0.260422997429809,0.384734553428035,0.830803641847389,1,1.65192788752033,1.13043675698057,0,0,0,0,0,0,0.85385180929012
"DMU106",0.425707809024253,0.418794707344043,0.762789953236074,0.89458669811845,0.895062341651492,0.930604190294367,0.621492262493305,0.446654871911056,0.885309028524502,1,0.737641242835243,0,0,0,0.49979506679095,0,0.88923433246878,0,0
"DMU107",0.809608918031719,0.934663376314834,0.800527367704733,0.768005108170135,0.745958100467545,0.87039286662302,1,0.563055529901443,0.820075331515854,1,0.764837987970931,0,0,0,0,0,1,0,0
"DMU108",0.143580425986853,0.0547313684291914,0.877307936466004,0.746861936216353,0.535614058483039,0.62513992383282,0.0631556313978534,0.158599478480975,0.602492862090795,0.886594855990441,0.0877151431645451,0,1.13985062534397,0,0,0,0,0,0
"DMU109",0.140798909348708,0.155639105342575,0.553102677532539,0.0659993953846274,0.0128116582328341,0.119024610415927,0.0815940204831265,0.031071523197639,0.322980903457928,0.596183363930683,1.11037565899712,1.36263120460486,1.42454797347553,0,0,0,0,0,0
"DMU110",0.01,0.0282837773958593,0.01,0.01,0.143617808548483,0.0746545706874693,0.0347839061030016,0.0211333132730918,0.100600469884325,0.239413590944776,266.944786007369,0,0,0,6.96292479398401,0,0,0,0
"DMU111",0.150554932327625,0.0538392756757551,0.676622440621616,0.309083837942479,0.317827836060658,0.363667115415444,0.0406538099273526,0.0185408868748888,0.350023118876126,0.684320334204439,0.267272295242983,0.354905098515957,1.44968908459578,0,0,0,0,0,0
"DMU112",0.0764841197406695,0.0424658465154908,0.495402378043523,0.0531943008340754,0.01,0.0617621735133125,0.0304765960716694,0.0195933445023612,0.209834306264967,0.508669631879057,0.364503261182147,0.484015994630603,1.97707135546888,0,0,0,0,0,0
